text,intent,sentiment
The terrible experience with Postpaid Gold.,complaint,angry
Details about ZENDMeet and the 1TB FUP limit.,product,neutral
I am unhappy with my prepaid basic service .,complaint,angry
This is unacceptable. ZENDCloud VM Pro is slow.,complaint,angry
The ZENDStream service is down in the USA.,technical,neutral
Why is my bill 60 for ZENDIndustrial Sensor ?,billing,neutral
"This is unacceptable, ZENDCloud VM Pro is slow.",complaint,angry
In USA I was charged 36 for ZENDIndustrial Sensor.,billing,neutral
 Im unhappy with the service of my ZENDIndustrial Sensor .,complaint,angry
Why is my bill 150 for ZENDMeet ?,billing,neutral
Tell me more about ZENDStream.,product,neutral
My Postpaid Gold is not working.,technical,neutral
My Prepaid Basic is not working.,technical,neutral
Supports ZENDCloud VM Pro Predictional Maintenance?,product,happy
You may process a refund for postpaid gold .,refund,neutral
Return my money for ZENDCloud VM Pro - it is within the 7-day window.,refund,neutral
It was not clear to me why my ZENDCloud VM Pro dashboard could not be read.,technical,neutral
I want a refund for my ZEND stream .,refund,neutral
Prepaid Basic Service is back in Thailand.,technical,neutral
My ZENDIndustrial Sensor is not working.,technical,neutral
"In the US, I was charged 36 for Postpaid Gold .",billing,neutral
This month the correct billing for the ZENDIndustrial Sensor .,billing,neutral
I want to request a refund for my ZENDIndustrial sensor .,refund,neutral
Tell me more about the Prepaid Basic Program .,product,neutral
Can you process a refund for prepaid basic?,refund,neutral
I want a refund for my ZENDCloud VM Pro .,refund,neutral
The ZENDMeet service is no longer in Singapore.,technical,neutral
Why is my bill 150 for ZENDStream?,billing,neutral
The incorrect billing for ZENDFiber 1 Gbps this month is,billing,neutral
Terrible experience with ZENDIndustrial Sensor.,complaint,angry
My ZENDCloud VM Pro is not working.,technical,neutral
I want a refund for my Prepaid Basic .,refund,neutral
The terrified experience with ZENDCloud VM Pro.,complaint,angry
Can you proceed with a refund for postpaid gold?,refund,neutral
For ZENDMeet in Thailand I paid 150 USD.,billing,neutral
I want a refund for my Prepaid Basic subscription .,refund,neutral
The money return was for Postpaid Gold - within the 7-day window.,refund,neutral
Can you process a refund for Postpaid gold?,refund,neutral
Why is my bill 36 for ZENDFiber 1 Gbps?,billing,neutral
Supports Postpaid Gold Predictive Maintenance ?,product,happy
I can't access my Prepaid Basic dashboard.,technical,neutral
I want a refund for my ZENDFiber 1 Gbps .,refund,neutral
Details about Postpaid gold and the 1TB FUP limit,product,neutral
Does ZENDCloud VM Pro support Consolidated Invoicing,product,happy
My prepaid basic is not working.,technical,neutral
Tell me more about ZENDCloud VM Pro .,product,neutral
Terrible experience with Prepaid Basic.,complaint,angry
My ZENDStream is not working.,technical,neutral
Told me more about ZENDFiber 1 Gbps .,product,neutral
I am unhappy with my Prepaid Basic service .,complaint,angry
With ZENDMeet it was a terrible experience.,complaint,angry
