text,intent,sentiment
Can't log into my Prepaid Unlimited account,technical,neutral
My ZENDFleet IoT bill shows $132,billing,neutral
Unable to access my ZENDEnterprise Ultra service,technical,neutral
Incorrect invoice for Postpaid Silver.,billing,neutral
Really disappointed with Prepaid Plus,complaint,neutral
ZENDFiber Home 100 Mbps offline in USA,technical,neutral
ZENDStorage 1TB outage in Singapore,technical,neutral
My ZENDArchive Storage statement states $42,billing,neutral
Describe ZENDEnterprise Ultra service?,product,happy
Cannot reach ZENDCloud VM Basic,technical,neutral
The Prepaid Plus invoice shows $30,billing,neutral
I would like a money back for ZENDCloud VM Pro.,refund,neutral
What are the features of Postpaid Silver have?,product,neutral
Does ZENDBiz Connect 500 support business capabilities,product,neutral
ZENDEnterprise Ultra quality is terrible?,complaint,angry
Issue refund for Postpaid Platinum,refund,neutral
Does Postpaid Platinum have business capabilities?,product,neutral
Capabilities of ZENDBiz Connect 1G have,product,neutral
ZENDCloud VM Basic is broken,technical,neutral
The ZENDIndustrial Sensor invoice shows $9,billing,neutral
Cannot log into ZENDOffice Net 200,technical,neutral
I require a refund for ZENDSmart Traffic.,refund,neutral
How much is ZENDCloud VM Pro in Thailand,product,neutral
Info on ZENDStorage 1TB service.,product,neutral
ZENDOffice Net 200 outage in Thailand,technical,neutral
Tell me about ZENDFleet IoT,product,neutral
What is ZENDFiber Home 300 Mbps service,product,happy
Cannot connect to ZENDSmart Lighting account.,technical,neutral
Does Prepaid Plus have enterprise features?,product,happy
Why is my ZENDSmart Parking statement indicates $24,billing,neutral
My ZENDBiz Connect 500 charge indicates $42,billing,neutral
How much does ZENDSmart Traffic cost in USA,product,neutral
Tell me about ZENDSmart Lighting service level,product,neutral
Horrible quality with ZENDEnterprise Ultra,complaint,angry
Can't access ZENDStorage 1TB dashboard,technical,neutral
ZENDArchive Storage experience is atrocious,complaint,neutral
ZENDSmart Traffic service is terrible,complaint,angry
The ZENDSmart Parking billing shows $36,billing,neutral
ZENDOffice Net 200 consolidated invoicing,product,happy
Features of Postpaid Gold.,product,happy
ZENDCloud VM Enterprise service is very poor,complaint,neutral
ZENDStorage 10TB slow,technical,neutral
Refund my ZENDFiber 1 Gbps,refund,neutral
My Prepaid Basic statement shows $27,billing,neutral
What's the price of ZENDSmart Parking?,product,neutral
What's ZENDFiber Home 100 Mbps SLA?,product,happy
Prepaid Unlimited service is bad,complaint,neutral
The Postpaid Silver billing indicates $36,billing,neutral
ZENDArchive Storage service is substandard?,complaint,neutral
Refund for ZENDArchive Storage - within 7-day window,refund,neutral
Pathetic experience with Postpaid Platinum.,complaint,angry
ZENDOffice Net 500 experience is disgusting,complaint,neutral
Not satisfied with ZENDSmart Traffic service,complaint,neutral
Inferior quality ZENDEnterprise Ultra,complaint,neutral
Wrong billing for ZENDOffice Net 500,billing,neutral
What's ZENDOffice Net 1G fair usage policy?,product,happy
ZENDSmart Lighting outage in India,technical,neutral
Can't access my ZENDSmart Lighting dashboard,technical,neutral
Appalling quality with ZENDCloud VM Basic.,complaint,neutral
What can ZENDOffice Net 1G do,product,happy
Refund for ZENDStorage 1TB - within 7-day window,refund,neutral
Can't connect to my ZENDBiz Connect 500,technical,neutral
What's ZENDOffice Net 1G SLA guarantee,product,happy
Is Postpaid Gold 5G compatible,product,neutral
Terminate Postpaid Platinum service and refund.,refund,neutral
Terrible experience with Prepaid Basic,complaint,angry
Get my money back for ZENDOffice Net 200.,refund,neutral
This month's ZENDFleet IoT bill is wrong?,billing,angry
Unhappy with Postpaid Gold service,complaint,neutral
Does ZENDEnterprise Dedicated support consolidated invoicing,product,neutral
I request a reimbursement for Prepaid Unlimited,refund,neutral
The ZENDStorage 1TB statement indicates $150,billing,neutral
Cancel ZENDFiber Home 300 Mbps and refund,refund,neutral
Unable to access my ZENDEnterprise Ultra,technical,neutral
Tell me about ZENDFiber Home 100 Mbps uptime guarantee,product,happy
Is ZENDSmart Traffic support 5G,product,neutral
Prepaid Plus experience is horrible,complaint,angry
The ZENDFiber Home 300 Mbps billing is $21,billing,neutral
Why is my ZENDIndustrial Sensor statement states $143,billing,neutral
Discontinue Postpaid Silver service and refund?,refund,neutral
Prepaid Basic intermittent connection,technical,neutral
Unable to log into my ZENDCloud VM Enterprise,technical,neutral
Cannot access Prepaid Unlimited dashboard,technical,neutral
How much is ZENDCloud VM Basic?,product,happy
ZENDCloud VM Enterprise experience is abysmal?,complaint,neutral
ZENDBiz Connect 1G unreliable,complaint,neutral
Refund for ZENDBiz Connect 1G - within 7 days.,refund,neutral
I would like a reimbursement for Prepaid Basic,refund,neutral
I require reimbursement for ZENDFiber 1 Gbps,refund,neutral
Postpaid Platinum is not working?,technical,neutral
Cancel ZENDCloud VM Enterprise and refund?,refund,neutral
Does Postpaid Gold 5G enabled,product,happy
Can ZENDFiber Home 100 Mbps support 5G,product,neutral
Wrong invoice for Prepaid Unlimited,billing,angry
Disgusting service with Prepaid Plus?,complaint,neutral
Unhappy with ZENDBiz Connect 100 service.,complaint,neutral
Prepaid Basic quality is awful,complaint,angry
Displeased with ZENDBiz Connect 1G service?,complaint,neutral
Tell me about ZENDFiber 1 Gbps SLA guarantee,product,neutral
My Prepaid Basic bill indicates $110,billing,neutral
ZENDEnterprise Dedicated is constantly has issues,complaint,neutral
I want reimbursement for ZENDSmart Traffic,refund,neutral
I seek return for ZENDBiz Connect 1G,refund,neutral
Cannot connect to ZENDFiber Home 100 Mbps,technical,neutral
I request money back for ZENDCloud VM Pro,refund,neutral
My ZENDOffice Net 500 statement indicates $42,billing,neutral
Atrocious quality with ZENDOffice Net 1G,complaint,neutral
Features of Postpaid Silver have,product,neutral
Can't connect to my ZENDOffice Net 200 account.,technical,neutral
